Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	tree_length
360	-421.6806	-432.9318	11.25112	0.154931	0.0179064	0.157559	0.00422828	0.00169021	0.00551888	0.00626218	0.142628	0.164915	0.0397693	0.0881681	0.261074	0.0412759	0.207585	0.105457	0.234382	1.73372	0.265219	0.523469	0.817145	1.22377	1.91033	3.77046	0.9596555	0.1295575	0.110747	0.0127997	0.112625	0.00302242	0.00120818	0.00394496	0.00447628	0.101952	0.117883	0.0284276	0.0630237	0.186619	0.0295045	0.148384	0.0753821	1.398968
396	-419.8582	-431.0625	11.20426	0.0436428	0.0422369	0.125721	0.000937173	0.0136681	0.0291104	0.045808	0.0532928	0.131005	0.0958702	0.138674	0.286818	0.043289	0.294394	0.0740477	0.375064	1.5989	0.393824	0.634786	0.867808	1.15233	1.57533	2.53921	0.6737932	0.2248028	0.0307665	0.0297754	0.0886288	0.000660672	0.00963548	0.0205217	0.0322929	0.0375695	0.0923537	0.0675849	0.0977598	0.202196	0.0305171	0.207537	0.0522009	1.418515
432	-425.5613	-436.8372	11.27585	0.150263	0.0228655	0.131413	0.00382403	0.0935945	0.028989	0.0102407	0.115587	0.0461803	0.107987	0.232869	0.0529984	0.189569	0.00155722	0.0806834	0.52877	1.4516	0.507647	0.718459	0.901986	1.10866	1.39187	1.96987	0.4902181	0.3490901	0.118446	0.0180239	0.103587	0.00301432	0.0737766	0.0228508	0.00807232	0.0911123	0.036402	0.0851214	0.18356	0.0417764	0.149429	0.00122749	0.0635994	1.26862
468	-418.5131	-430.0879	11.5748	0.187557	0.0195171	0.106135	0.0383029	0.0290887	0.0167628	0.0120877	0.119327	0.03512	0.0477478	0.0852828	0.21044	0.0434945	0.305142	0.0439214	0.412596	1.56293	0.593416	0.775295	0.923668	1.08264	1.28983	1.68516	0.3773402	0.2529891	0.144283	0.015014	0.0816467	0.0294655	0.0223772	0.0128952	0.00929875	0.0917949	0.0270169	0.0367312	0.0656059	0.161886	0.0334592	0.234738	0.0337877	1.299926
504	-421.6449	-432.8147	11.16981	0.114754	0.0489802	0.0520242	0.013429	0.00541304	0.00633942	0.00585895	0.054698	0.00174539	0.0108637	0.0651876	0.125628	0.0414219	0.121814	0.0222751	0.58474	1.39796	0.237332	0.49586	0.803448	1.24464	2.0167	4.21351	1.039988	0.400853	0.166206	0.0709413	0.0753502	0.0194501	0.00784007	0.00918181	0.00848592	0.0792228	0.00252796	0.0157346	0.0944156	0.181955	0.0599942	0.176432	0.0322626	0.6904326
540	-420.8662	-431.9717	11.10546	0.114506	0.0897268	0.152187	0.00964143	0.00342321	0.0143389	0.00690442	0.126666	0.0434208	0.00626778	0.0731987	0.142748	0.027655	0.152171	0.0213601	0.559089	1.42254	0.280611	0.53807	0.824189	1.21331	1.85849	3.56366	0.9188666	0.376646	0.116342	0.0911659	0.154627	0.00979606	0.00347812	0.0145689	0.00701515	0.128698	0.0441172	0.0063683	0.0743727	0.145038	0.0280986	0.154612	0.0217027	0.9842149
576	-428.2072	-439.315	11.10777	0.0542632	0.0809693	0.0882919	0.0493433	0.0925542	0.0191206	0.00877992	0.0273889	0.0618221	0.0596993	0.0803527	0.305611	0.0210171	0.241271	0.0628867	0.42226	1.55367	0.295368	0.551689	0.830641	1.20389	1.81261	3.38561	0.8818076	0.2604587	0.0432938	0.0646012	0.0704436	0.0393685	0.0738442	0.0152554	0.00700504	0.0218522	0.0493246	0.047631	0.0641093	0.243831	0.0167684	0.192498	0.0501741	1.253371
612	-423.3399	-434.329	10.98906	0.0999604	0.0933871	0.0619452	0.0122392	0.00543964	0.00957151	0.0143559	0.186107	0.0210655	0.0236551	0.24629	0.0411108	0.00173888	0.267929	0.16339	0.274213	1.69555	0.161672	0.411196	0.757862	1.3195	2.43193	6.18538	1.317567	0.1549867	0.0800845	0.0748182	0.0496282	0.00980562	0.00435804	0.00766833	0.0115014	0.149102	0.0168769	0.0189516	0.197319	0.0329365	0.00139313	0.214655	0.130902	1.248186
648	-426.8347	-438.0281	11.19336	0.173458	0.146023	0.202648	0.0124256	0.0166809	0.090391	0.0771699	0.150069	0.0793585	0.237035	0.0932896	0.031456	0.197791	0.0296342	0.180451	0.346361	1.6264	0.627572	0.796746	0.931566	1.07346	1.2551	1.59344	0.3368752	0.204088	0.100972	0.0850018	0.117964	0.00723309	0.00971017	0.0526178	0.0449216	0.0873573	0.0461956	0.137981	0.0543051	0.0183109	0.115137	0.0172505	0.105043	1.71788
684	-426.4996	-437.2058	10.70611	0.147119	0.104307	0.224144	0.0560112	0.0257161	0.0152798	0.0655737	0.146958	0.0567113	0.142494	0.433026	0.105453	0.0540411	0.00940591	0.565769	0.43193	1.5444	0.989464	0.994848	0.99839	1.00161	1.00518	1.01065	0.007658457	0.268022	0.0683635	0.0484694	0.104156	0.0260274	0.0119498	0.00710025	0.0304709	0.0682887	0.0263528	0.0662143	0.20122	0.0490022	0.0251119	0.00437076	0.262903	2.152007
720	-422.8159	-434.0729	11.257	0.0719243	0.0247252	0.0441227	0.00543424	0.000832146	0.0156949	0.00580398	0.0246464	0.00497389	0.00541748	0.0298397	0.0740395	0.0330811	0.0959334	0.0174849	0.387224	1.58724	0.147067	0.39264	0.747023	1.33865	2.54686	6.79964	1.386028	0.2337949	0.15844	0.0544664	0.0971965	0.0119709	0.00183311	0.0345737	0.0127854	0.0542927	0.0109568	0.011934	0.0657328	0.163099	0.0728732	0.211329	0.038517	0.4539538
756	-420.3066	-430.6518	10.34512	0.189544	0.00681522	0.218466	0.12893	0.0338425	0.0456221	0.00777682	0.158227	0.157477	0.0246025	0.204184	0.50223	0.113793	0.42875	0.144724	0.368357	1.60532	0.796045	0.89472	0.965889	1.03532	1.11767	1.25621	0.1649319	0.2198986	0.080146	0.00288172	0.0923752	0.0545161	0.0143098	0.0192907	0.00328832	0.0669043	0.0665868	0.0104028	0.0863362	0.212361	0.0481157	0.181291	0.0611944	2.364982
792	-419.3918	-430.6966	11.30481	0.17089	0.0666698	0.0874541	0.00335107	0.012918	0.0395024	0.0238157	0.0390312	0.0574623	0.230235	0.0964869	0.0286617	0.0596115	0.249464	0.0596884	0.266158	1.70327	0.234926	0.493403	0.802204	1.24657	2.02674	4.25665	1.047353	0.1497521	0.139475	0.0544136	0.0713769	0.00273502	0.0105432	0.0322405	0.0194375	0.0318559	0.0468987	0.18791	0.0787492	0.0233927	0.0486528	0.203604	0.0487156	1.225243
828	-425.4281	-436.3109	10.88274	0.144473	0.0698633	0.138824	0.0101011	0.0126664	0.0444455	0.0232867	0.176598	0.100985	0.0217707	0.078115	0.0845165	0.200982	0.175164	0.225025	0.497982	1.4811	0.414251	0.650637	0.874511	1.1435	1.53696	2.414	0.6372285	0.3222146	0.0958795	0.0463648	0.0921309	0.00670357	0.00840609	0.0294963	0.0154542	0.117199	0.0670185	0.0144481	0.0518411	0.0560894	0.133382	0.116248	0.149338	1.506817
864	-419.0128	-430.1035	11.0907	0.137853	0.0421607	0.0889354	0.004342	0.0310284	0.0113508	0.00743746	0.172104	0.0177706	0.262472	0.163156	0.251946	0.0528869	0.0975914	0.0582647	0.40761	1.56771	0.356243	0.604485	0.854666	1.17005	1.6543	2.80707	0.7463093	0.2491706	0.0985157	0.0301299	0.0635571	0.00310298	0.0221742	0.00811175	0.00531513	0.122993	0.0126996	0.187574	0.116598	0.180052	0.0377953	0.069743	0.0416385	1.399299
900	-422.529	-433.2879	10.75891	0.0962255	0.0597587	0.178575	0.00364876	0.0460376	0.0666929	0.118788	0.087828	0.164277	0.149137	0.444296	0.032412	0.11495	0.374414	0.0840583	0.447693	1.52929	0.843555	0.920376	0.974446	1.02622	1.08651	1.18546	0.1230156	0.2805469	0.0476105	0.0295674	0.0883554	0.00180533	0.0227785	0.0329983	0.058774	0.0434556	0.0812811	0.0737899	0.219829	0.0160368	0.0568751	0.185253	0.0415904	2.021099
936	-418.62	-430.1681	11.54812	0.0762362	0.02066	0.102822	0.00697741	0.0145875	0.0028548	0.00361632	0.0833925	0.0110337	0.120526	0.081893	0.165396	0.0360587	0.0178669	0.0365968	0.288646	1.68171	0.192291	0.447492	0.778129	1.28513	2.23468	5.20045	1.192156	0.1644863	0.0976737	0.0264696	0.131736	0.00893945	0.0186894	0.00365757	0.00463323	0.106842	0.0141363	0.154418	0.104921	0.211906	0.0461984	0.0228911	0.0468878	0.7805186
972	-425.3844	-436.9928	11.60844	0.0282857	0.00437954	0.106399	0.00828989	0.00594166	0.0158059	0.00210635	0.0408805	0.0335751	0.0283141	0.103033	0.0240276	0.0432027	0.0836345	0.0121512	0.112324	1.85069	0.0979542	0.322047	0.702231	1.42403	3.10514	10.2089	1.679873	0.058164	0.0523783	0.00810985	0.197026	0.0153509	0.0110025	0.0292687	0.00390045	0.0757008	0.062173	0.052431	0.190792	0.0444933	0.080001	0.154871	0.0225012	0.5400269
1008	-419.8532	-430.5614	10.70819	0.025116	0.00793005	0.0307667	0.00696354	0.000262814	0.00716322	0.00352553	0.0490545	0.019695	0.0290652	0.0495098	0.0155204	0.00999098	0.0417208	0.00132836	0.517195	1.46269	0.113745	0.346399	0.718383	1.39201	2.88685	8.79158	1.571803	0.3388595	0.0843914	0.0266455	0.103378	0.023398	0.000883074	0.0240689	0.011846	0.164827	0.0661767	0.0976612	0.166356	0.0521495	0.0335704	0.140185	0.00446338	0.2976131
1044	-423.7058	-434.701	10.99514	0.183251	0.0559739	0.0718919	0.0215141	0.0231504	0.00333368	0.0123521	0.156589	0.040594	0.36214	0.168162	0.356376	0.0106559	0.0227293	0.133581	0.365804	1.60777	0.419217	0.654429	0.876098	1.14143	1.52805	2.3854	0.6286114	0.2180422	0.112958	0.0345029	0.044315	0.0132615	0.0142702	0.00205492	0.00761395	0.0965231	0.0250226	0.223227	0.103657	0.219674	0.00656839	0.0140106	0.0823405	1.622295
1080	-417.9746	-429.0896	11.11494	0.0676457	0.0207356	0.0415689	0.00221936	0.00595262	0.00693638	0.00631865	0.0445948	0.0318194	0.125516	0.0631126	0.0313018	0.0274668	0.0154564	0.105191	0.380825	1.59338	0.120631	0.356472	0.724836	1.37962	2.80527	8.28975	1.529305	0.2290465	0.113531	0.0348009	0.0697657	0.00372479	0.00999038	0.0116414	0.0106047	0.0748442	0.053403	0.210655	0.105923	0.0525343	0.046098	0.0259407	0.176544	0.5958357
1116	-424.4382	-434.9289	10.49075	0.108603	0.14298	0.198772	0.0281662	0.0165557	0.0540929	0.09326	0.0661173	0.110417	0.325273	0.0973562	0.0786044	0.0397441	0.0805327	0.567637	0.235142	1.73299	0.303818	0.559331	0.834214	1.19873	1.78785	3.29144	0.8614112	0.1300323	0.0540822	0.0712012	0.0989848	0.0140262	0.00824443	0.0269372	0.0464416	0.0329251	0.0549855	0.161979	0.0484815	0.0391435	0.0197918	0.0401037	0.282672	2.008112
1152	-424.7048	-436.0316	11.32683	0.0819523	0.0493673	0.0396091	0.032985	0.000150388	0.0450648	0.0424867	0.0492826	0.0760509	0.177215	0.0513405	0.196648	0.00387416	0.0417545	0.0173243	0.33827	1.63416	0.18886	0.443579	0.776	1.28866	2.25439	5.29494	1.205176	0.1983743	0.0905444	0.0545431	0.0437619	0.0364433	0.000166155	0.0497896	0.0469412	0.0544495	0.0840244	0.195795	0.0567232	0.217266	0.00428034	0.0461322	0.0191407	0.9051056
1188	-424.0268	-434.4563	10.42952	0.216145	0.0303603	0.293272	0.00970454	0.0193335	0.0249455	0.010292	0.230657	0.054569	0.132805	0.306622	0.140672	0.3536	0.115546	0.0483804	0.153113	1.8116	0.201484	0.457801	0.783677	1.27604	2.18436	4.96317	1.158388	0.08099664	0.108785	0.0152802	0.147603	0.00488425	0.00973045	0.012555	0.00517994	0.116089	0.0274643	0.0668401	0.154321	0.0707996	0.177965	0.0581537	0.0243496	1.986904
1224	-421.8046	-432.9954	11.19088	0.0289047	0.0229967	0.108954	0.00198102	0.00131341	0.0128462	0.039113	0.0328006	0.0285743	0.252089	0.0682198	0.178255	0.0112245	0.0247768	0.0883322	0.23622	1.73196	0.113702	0.346335	0.718342	1.39209	2.88738	8.79489	1.572075	0.1307062	0.0321028	0.025541	0.121009	0.0022002	0.00145873	0.0142675	0.0434404	0.0364297	0.0317358	0.27998	0.0757677	0.197977	0.0124664	0.0275181	0.0981053	0.9003814
1260	-419.3054	-430.5521	11.24664	0.103934	0.0272109	0.0578409	0.0233534	0.00567207	0.0272792	0.0206857	0.0568822	0.102313	0.142655	0.0596121	0.205196	0.0158879	0.0358983	0.0407818	0.414968	1.56066	0.215377	0.472933	0.791669	1.26315	2.11446	4.64302	1.110174	0.2548144	0.112337	0.0294107	0.062517	0.0252414	0.00613062	0.0294845	0.022358	0.0614807	0.110585	0.154188	0.0644313	0.221785	0.0171723	0.0388005	0.0440787	0.9252037
1296	-420.2022	-431.5359	11.33364	0.0611861	0.0317419	0.101615	0.0260612	0.0103627	0.011104	0.0164837	0.0438976	0.0444002	0.128472	0.0630506	0.199513	0.0518172	0.0287882	0.0190398	0.472262	1.50575	0.25543	0.513955	0.812482	1.2308	1.94569	3.91496	0.9868484	0.3005711	0.0730552	0.0378993	0.121326	0.0311166	0.0123729	0.013258	0.0196813	0.0524131	0.0530132	0.153393	0.0752813	0.238215	0.0618689	0.0343727	0.0227332	0.8375325
1332	-418.979	-430.6168	11.63785	0.0819193	0.0418979	0.0705938	0.000666043	0.0146743	0.00963237	0.0242197	0.094286	0.101171	0.16832	0.0570646	0.204615	0.0333488	0.0299443	0.0313789	0.404358	1.57082	0.377765	0.622028	0.862328	1.15965	1.60764	2.64715	0.7038952	0.2466924	0.0850021	0.0434747	0.0732504	0.000691108	0.0152265	0.00999486	0.0251311	0.0978342	0.104978	0.174655	0.0592121	0.212315	0.0346038	0.0310712	0.0325598	0.9637323
1368	-425.4373	-436.4552	11.01784	0.10614	0.0715133	0.115109	0.0161267	0.0187983	0.0575988	0.0272504	0.0952004	0.034143	0.0604734	0.248939	0.173063	0.234432	0.0496586	0.038148	0.581662	1.40091	0.46521	0.688512	0.890085	1.12349	1.45241	2.14957	0.55334	0.3979033	0.0788208	0.0531068	0.0854817	0.0119759	0.0139599	0.0427737	0.0202365	0.0706972	0.0253551	0.0449084	0.184866	0.128519	0.174093	0.0368772	0.0283292	1.346594
1404	-418.5287	-429.6777	11.14902	0.187688	0.00686475	0.0565317	0.00753845	0.00780258	0.0327547	0.0145514	0.141324	0.141603	0.121854	0.242466	0.180172	0.00980051	0.0391648	0.021914	0.466658	1.51112	0.329438	0.581858	0.844553	1.18406	1.71863	3.03548	0.8028728	0.2959491	0.154854	0.00566385	0.0466422	0.00621969	0.00643761	0.0270246	0.0120058	0.116601	0.116831	0.100537	0.20005	0.148653	0.00808603	0.0323134	0.0180804	1.21203
1440	-422.685	-433.7165	11.03149	0.0988844	0.068592	0.109657	0.0164602	0.0154519	0.0347638	0.0389522	0.0441492	0.0756252	0.4712	0.145862	0.310367	0.0248878	0.0724143	0.0550034	0.430862	1.54542	0.489656	0.705926	0.897048	1.11477	1.41658	2.04225	0.5163093	0.2671822	0.0624952	0.0433503	0.0693035	0.0104029	0.00976565	0.0219709	0.0246179	0.0279024	0.0477954	0.2978	0.0921854	0.196153	0.0157292	0.0457661	0.0347623	1.582271
1476	-420.2453	-431.3894	11.14413	0.148164	0.0345577	0.0622811	0.000583664	0.0231794	0.0183941	0.0235477	0.159062	0.0784054	0.278597	0.144077	0.307514	0.0149421	0.0771822	0.00238735	0.258072	1.71101	0.235703	0.494198	0.802607	1.24594	2.02348	4.24262	1.044965	0.1445455	0.107922	0.0251718	0.0453655	0.00042514	0.0168839	0.0133982	0.0171521	0.11586	0.0571104	0.20293	0.104945	0.223993	0.0108838	0.0562195	0.00173895	1.372873
1512	-433.9325	-445.3722	11.43968	0.303517	0.114824	0.138678	0.0663264	0.0407469	0.0290191	0.0140847	0.0336703	0.0692856	0.138063	0.0925797	0.117422	0.0430068	0.0160463	0.0535408	0.472786	1.50525	0.551582	0.74814	0.91345	1.09475	1.33665	1.81297	0.4302001	0.3010046	0.238837	0.0903549	0.109126	0.0521922	0.0320638	0.0228351	0.0110833	0.0264951	0.0545209	0.108642	0.072851	0.0923991	0.033842	0.0126268	0.0421312	1.27081
1548	-419.6846	-430.8309	11.14626	0.0767788	0.0716146	0.0408731	0.0180532	0.0085252	0.0200182	0.0141425	0.103205	0.0483099	0.175996	0.0874863	0.15784	0.0244732	0.00995707	0.0354565	0.543679	1.43731	0.253538	0.512094	0.811564	1.23219	1.95276	3.94419	0.9922258	0.3625011	0.0860045	0.0802197	0.0457844	0.0202224	0.00954959	0.0224235	0.0158419	0.115606	0.0541148	0.197144	0.0979986	0.176806	0.0274139	0.0111535	0.0397169	0.8927302
1584	-424.2613	-434.6062	10.34488	0.101269	0.0838596	0.0703997	0.0280085	0.049776	0.0178229	0.00565683	0.160133	0.0527009	0.146786	0.327818	0.155507	0.499564	0.15701	0.0265297	0.657022	1.32869	0.615689	0.789353	0.92886	1.07659	1.26686	1.6242	0.350698	0.4738855	0.0537852	0.0445388	0.0373902	0.0148757	0.0264366	0.00946594	0.00300441	0.0850488	0.0279901	0.0779596	0.174108	0.0825919	0.265325	0.0833899	0.0140902	1.882841
1620	-433.427	-442.9467	9.519705	0.186578	0.205253	0.404642	0.103915	0.0818632	0.00591803	0.22556	0.124362	0.038191	0.0872017	0.33637	0.248286	0.512039	0.0617975	0.113694	0.400567	1.57446	0.634369	0.800943	0.933094	1.0717	1.24853	1.57637	0.3290858	0.2438156	0.0682021	0.0750284	0.147913	0.0379851	0.0299244	0.00216328	0.0824515	0.0454593	0.0139604	0.0318758	0.122957	0.0907588	0.187171	0.0225895	0.0415599	2.735672
1656	-419.3858	-430.6413	11.2555	0.130803	0.0134084	0.191642	0.00630412	0.00353282	0.036634	0.042887	0.0895249	0.00127842	0.177162	0.0841528	0.0381608	0.0703016	0.0325014	0.27294	0.308295	1.66288	0.236324	0.494832	0.802928	1.24544	2.02089	4.23149	1.043065	0.1776726	0.109804	0.0112559	0.160877	0.00529209	0.00296568	0.030753	0.0360022	0.0751531	0.00107319	0.148722	0.0706434	0.0320347	0.0590158	0.0272839	0.229124	1.191234
1692	-430.2288	-441.2233	10.99447	0.241496	0.0437239	0.0458969	0.0184242	0.0514152	0.125917	0.00873197	0.190365	0.00297778	0.025142	0.246411	0.0600314	0.14224	0.431414	0.20564	0.382073	1.59218	0.672653	0.824163	0.941451	1.06219	1.21335	1.48665	0.2867155	0.22997	0.13126	0.0237653	0.0249464	0.0100141	0.0279457	0.0684395	0.00474609	0.103469	0.00161851	0.0136654	0.133932	0.0326289	0.0773116	0.234487	0.111771	1.839825
1728	-420.7838	-431.6471	10.86331	0.238839	0.099004	0.109985	0.0148736	0.0198669	0.0854242	0.0325566	0.145494	0.0173188	0.0381726	0.171647	0.113941	0.0183937	0.416491	0.46685	0.396829	1.57804	0.792873	0.892979	0.965302	1.03594	1.11985	1.26124	0.1678187	0.2409917	0.120089	0.0497794	0.0553006	0.00747845	0.00998911	0.0429514	0.0163695	0.0731547	0.00870792	0.0191933	0.0863043	0.0572896	0.00924839	0.209412	0.234733	1.988856
1764	-419.6717	-430.8731	11.20142	0.0452816	0.0196153	0.0646042	0.00031793	0.0028818	0.0142884	0.00872525	0.0844619	0.0137112	0.0236181	0.0435775	0.0174397	0.00178096	0.121301	0.128801	0.272596	1.6971	0.098511	0.322939	0.702837	1.42281	3.09656	10.1512	1.675775	0.1539321	0.0766957	0.0332234	0.109423	0.000538494	0.00488106	0.024201	0.0147784	0.143057	0.0232233	0.0400031	0.0738094	0.0295386	0.00301651	0.205453	0.218157	0.590406
1800	-439.9687	-451.2458	11.27713	0.0450075	0.167249	0.0530155	0.0175451	0.00384622	0.0142672	0.0433789	0.052898	0.035388	0.122618	0.142069	0.0153311	0.240394	0.129043	0.0275694	0.341605	1.63096	0.236495	0.495007	0.803016	1.2453	2.02017	4.22843	1.042542	0.200723	0.0405612	0.150726	0.0477781	0.0158118	0.00346625	0.0128577	0.0390935	0.0476721	0.031892	0.110505	0.128034	0.0138165	0.216646	0.116295	0.0248458	1.10962
1836	-426.9516	-438.025	11.07344	0.0525994	0.00474047	0.205425	0.0228647	0.0089345	0.00809048	0.00647	0.0954044	0.0222093	0.00621728	0.0423679	0.122243	0.271827	0.0108952	0.0658962	0.270035	1.69955	0.114092	0.346913	0.718716	1.39137	2.88256	8.76485	1.569601	0.1522662	0.055591	0.00501008	0.217109	0.0241651	0.00944265	0.00855063	0.00683798	0.100831	0.0234725	0.00657088	0.0447776	0.129196	0.287288	0.0115149	0.0696441	0.9461858
1872	-421.5415	-432.5504	11.00891	0.172672	0.0154077	0.231713	0.0037597	0.00686994	0.0211317	0.000761899	0.0820387	0.0337452	0.0844079	0.180115	0.0428746	0.176726	0.00564275	0.0530168	0.397669	1.57723	0.191785	0.446917	0.777816	1.28565	2.23755	5.21418	1.194063	0.2416253	0.155437	0.0138698	0.208584	0.00338442	0.00618422	0.0190225	0.00068585	0.07385	0.030377	0.0759827	0.162137	0.0385951	0.159086	0.00507952	0.047725	1.110883
