Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	tree_length
0	-425.1549	-435.4426	10.28769	0.249811	0.13496	0.109623	0.0963496	0.0106805	0.0250064	0.0714723	0.27495	0.0241987	0.161272	0.127736	0.0436304	0.0357559	0.483563	0.53152	0.314697	1.65675	0.650643	0.810899	0.936697	1.06758	1.2332	1.53694	0.3107712	0.1820337	0.104939	0.0566931	0.0460499	0.040474	0.00448661	0.0105045	0.0300237	0.1155	0.0101653	0.0677462	0.0536587	0.018328	0.0150202	0.203133	0.223278	2.380529
36	-421.5038	-432.6743	11.17048	0.064282	0.014829	0.0537888	0.0352114	0.00500292	0.0123705	0.0193646	0.138491	0.0604037	0.0201827	0.116654	0.0341187	0.0458247	0.170794	0.183865	0.679394	1.30725	0.411678	0.648663	0.873682	1.14458	1.54163	2.42908	0.6417328	0.4980582	0.065918	0.0152064	0.0551577	0.0361075	0.00513024	0.0126853	0.0198574	0.142016	0.061941	0.0206964	0.119622	0.0349869	0.0469909	0.17514	0.188544	0.9751825
72	-428.1501	-438.4918	10.34173	0.0190549	0.0316391	0.0386554	0.00469012	0.00249332	0.0129252	0.0072882	0.0246907	0.0100539	0.00139487	0.0335667	0.0123724	0.0421442	0.013138	0.00460075	0.48058	1.49778	0.0678245	0.269193	0.664034	1.50595	3.7148	14.7439	1.945657	0.3074927	0.0736541	0.122297	0.149417	0.018129	0.00963759	0.0499605	0.0281716	0.0954385	0.0388619	0.0053917	0.129747	0.047824	0.162903	0.0507833	0.0177836	0.2587077
108	-426.964	-437.3888	10.42481	0.094121	0.0512653	0.148386	0.00630171	0.00353977	0.0509962	0.0155286	0.0671904	0.0919242	0.0830767	0.478625	0.130441	0.254986	0.132348	0.00471496	0.50317	1.47613	0.272372	0.530307	0.82046	1.21883	1.8857	3.67145	0.9404135	0.3266681	0.0583354	0.0317738	0.0919685	0.00390575	0.00219392	0.031607	0.00962446	0.041644	0.0569738	0.0514902	0.296648	0.0808463	0.158038	0.0820284	0.00292229	1.613446
144	-424.2466	-435.2224	10.97574	0.20538	0.0555752	0.0210697	0.00854724	0.0126309	0.00897642	0.0322385	0.197179	0.0841852	0.124601	0.213134	0.1509	0.208737	0.0746031	0.0249301	0.527582	1.45273	0.436717	0.667613	0.881566	1.13434	1.49787	2.28981	0.5990413	0.3480335	0.14436	0.0390635	0.0148098	0.00600781	0.00887816	0.00630947	0.0226602	0.138596	0.0591733	0.0875817	0.149811	0.106067	0.14672	0.0524381	0.0175233	1.422689
180	-424.1942	-435.6576	11.46341	0.046051	0.015435	0.0544279	0.0219907	0.00859887	0.0193083	0.0240682	0.0602656	0.0746022	0.0103367	0.0929466	0.0521252	0.12206	0.00322276	0.00889224	0.374917	1.59904	0.193807	0.449208	0.779059	1.2836	2.22614	5.15978	1.186479	0.224695	0.0749612	0.0251248	0.0885969	0.0357962	0.0139971	0.0314298	0.039178	0.0980995	0.121436	0.016826	0.151297	0.0848487	0.198687	0.00524596	0.0144747	0.6143312
216	-424.2108	-435.0668	10.85603	0.114556	0.116954	0.106961	0.0730491	0.011189	0.0158488	0.061112	0.0497645	0.0296514	0.0338975	0.193547	0.103822	0.401553	0.0326772	0.0199305	0.523316	1.45682	0.330117	0.582443	0.844818	1.18369	1.71691	3.02923	0.8013832	0.3442499	0.083954	0.0857109	0.078388	0.0535349	0.00819998	0.0116149	0.0447867	0.0364705	0.0217304	0.0248422	0.141843	0.0760872	0.294283	0.0239479	0.0146063	1.364514
252	-422.1409	-433.1905	11.04959	0.0951545	0.0176144	0.130621	0.0410167	0.0133373	0.0844015	0.0620852	0.126599	0.0933896	0.0719654	0.421746	0.116423	0.421131	0.100957	0.102686	0.334963	1.63733	0.715107	0.849134	0.950259	1.05234	1.17767	1.39839	0.2424619	0.1960548	0.0501043	0.00927498	0.0687795	0.0215977	0.00702288	0.0444423	0.0326915	0.0666615	0.049175	0.037894	0.222074	0.0613034	0.22175	0.0531595	0.0540701	1.899126
288	-420.7628	-432.2616	11.49872	0.0571251	0.0652501	0.174034	0.0204095	0.0174034	0.00989285	0.0293238	0.149386	0.142803	0.0277058	0.134065	0.254792	0.0253889	0.2773	0.0190373	0.302678	1.66827	0.46673	0.689608	0.890527	1.12293	1.4501	2.14257	0.5509821	0.1738732	0.0406898	0.0464772	0.123963	0.0145376	0.0123964	0.00704661	0.0208872	0.106407	0.101718	0.0197347	0.0954934	0.181487	0.0180843	0.197519	0.0135601	1.403916
324	-421.5148	-431.8809	10.36612	0.152826	0.148447	0.207304	0.0112934	0.0710497	0.00312803	0.00553864	0.0877783	0.119169	0.0569336	0.239455	0.572496	0.0329028	0.528369	0.0363178	0.341368	1.63119	0.621113	0.792736	0.930101	1.07515	1.26145	1.61001	0.3443559	0.2005561	0.067235	0.0653084	0.0912026	0.00496849	0.031258	0.00137616	0.0024367	0.0386177	0.0524281	0.0250477	0.105347	0.251867	0.0144754	0.232453	0.0159779	2.273007
