Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	tree_length
0	-418.8136	-429.4258	10.6122	0.169193	0.0448831	0.122165	0.06751	0.00792271	0.016559	0.00127404	0.333951	0.0491775	0.398849	0.0718872	0.0438568	0.246778	0.427729	0.0488251	0.438012	1.53857	0.713377	0.848132	0.949909	1.05273	1.17906	1.40178	0.2442133	0.2728254	0.0825106	0.0218882	0.0595764	0.0329227	0.00386368	0.00807535	0.000621311	0.162858	0.0239825	0.194507	0.0350573	0.0213877	0.120347	0.208591	0.0238106	2.050561
36	-419.3745	-430.087	10.71257	0.208302	0.047002	0.0568737	0.00410957	0.00716879	0.026363	0.00494853	0.16125	0.0674278	0.324254	0.0550118	0.071699	0.211244	0.330602	0.0302626	0.691781	1.29538	0.648086	0.809343	0.936136	1.06822	1.23557	1.543	0.3136179	0.5117867	0.12966	0.029257	0.0354018	0.00255806	0.00446231	0.01641	0.00308028	0.100372	0.0419714	0.201836	0.0342428	0.0446301	0.131492	0.205788	0.0188374	1.606519
72	-419.706	-430.903	11.19698	0.0600138	0.00175191	0.0583583	0.0142291	0.000900143	0.0392899	0.028323	0.110702	0.0898631	0.273375	0.111954	0.0616142	0.0805519	0.316884	0.0275237	0.479597	1.49872	0.40458	0.643183	0.871373	1.14761	1.55477	2.4717	0.65431	0.3066708	0.0470574	0.00137369	0.0457592	0.0111572	0.000705809	0.0308075	0.0222083	0.0868022	0.0704624	0.214356	0.0877839	0.0483122	0.0631614	0.248471	0.0215816	1.275334
108	-415.6441	-426.9729	11.3288	0.187729	0.012214	0.129778	0.000772933	0.000838525	0.0305849	0.082299	0.191624	0.0399079	0.320793	0.0796494	0.0500633	0.114555	0.2403	0.0696219	0.387855	1.58664	0.618086	0.79085	0.92941	1.07595	1.26446	1.6179	0.3478882	0.2342651	0.121059	0.00787626	0.083688	0.000498432	0.000540729	0.0197229	0.0530712	0.12357	0.0257349	0.206866	0.0513625	0.0322837	0.0738716	0.154959	0.0448962	1.550729
144	-424.9891	-435.9773	10.98824	0.020283	0.0704091	0.106746	0.0151085	0.00448143	0.011132	0.0375281	0.121788	0.0664449	0.273385	0.0509883	0.0190726	0.198648	0.237749	0.0695087	0.528935	1.45144	0.36178	0.609049	0.856674	1.16731	1.6419	2.76411	0.7351581	0.3492373	0.0155631	0.0540248	0.0819059	0.0115928	0.0034386	0.00854159	0.0287953	0.0934477	0.0509832	0.209768	0.0391233	0.0146344	0.152423	0.182424	0.053334	1.303272
180	-421.1283	-431.4096	10.28137	0.163751	0.0135071	0.120488	0.0267776	0.0138407	0.0579523	0.0123685	0.143335	0.0144273	0.697044	0.116524	0.0619526	0.248276	0.330767	0.0660774	0.589525	1.39337	0.72504	0.854866	0.952255	1.05014	1.16977	1.37923	0.2324874	0.4054634	0.0784591	0.00647176	0.0577304	0.0128301	0.00663159	0.027767	0.0059262	0.0686772	0.00691265	0.333979	0.0558307	0.0296837	0.118958	0.158483	0.0316601	2.087089
216	-420.463	-431.3592	10.89623	0.297884	0.0638501	0.130661	0.00660927	0.00789319	0.0490699	0.0145256	0.134892	0.05976	0.320199	0.093775	0.0517394	0.135425	0.448191	0.0769765	0.280693	1.68934	0.483803	0.701798	0.895408	1.11681	1.42491	2.06696	0.5250035	0.1592324	0.15749	0.0337572	0.0690799	0.00349429	0.00417309	0.025943	0.00767959	0.0713166	0.0315948	0.169287	0.0495784	0.0273544	0.0715984	0.236956	0.0406971	1.891451
252	-421.505	-432.4063	10.90129	0.128951	0.0100163	0.101749	0.0407466	0.00656363	0.0299236	0.0299716	0.103076	0.105868	0.024651	0.0139626	0.0840418	0.0285954	0.157732	0.189347	0.613821	1.37009	0.268943	0.52704	0.81888	1.22118	1.89739	3.71826	0.9495753	0.4293483	0.122205	0.00949239	0.0964269	0.0386152	0.0062203	0.0283583	0.0284038	0.0976844	0.10033	0.0233615	0.0132322	0.0796457	0.0270996	0.149481	0.179443	1.055196
288	-426.0431	-437.435	11.39182	0.0909334	0.0432235	0.0837173	0.0401768	0.011092	0.0282269	0.0139798	0.0573376	0.0160004	0.00917615	0.0155603	0.0295571	0.00810672	0.0962912	0.144637	0.338018	1.6344	0.165497	0.415912	0.760563	1.31481	2.40436	6.04242	1.30066	0.1981978	0.132167	0.0628234	0.121679	0.0583951	0.0161218	0.0410265	0.020319	0.0833376	0.0232558	0.0133371	0.0226162	0.0429599	0.0117827	0.139955	0.210223	0.6880165
324	-429.4527	-440.2979	10.84524	0.0782411	0.0623219	0.0287049	0.0310287	0.0149263	0.0303764	0.0088601	0.116524	0.179441	0.0149869	0.0140641	0.0489721	0.0661996	0.284847	0.187591	0.683236	1.30357	0.351593	0.600624	0.852959	1.17239	1.66494	2.8442	0.7558108	0.5022901	0.0670398	0.0533996	0.0245954	0.0265865	0.0127894	0.0260276	0.00759165	0.0998415	0.153751	0.0128413	0.0120506	0.0419611	0.0567222	0.244067	0.160735	1.167085
360	-422.5513	-433.1178	10.56651	0.385548	0.0630505	0.0828337	0.13402	0.0391546	0.00456373	0.0193377	0.214813	0.147905	0.411156	0.017911	0.0193368	0.123621	0.428102	0.0551068	0.447734	1.52925	0.84149	0.919276	0.974083	1.02661	1.08781	1.18837	0.1247882	0.2805802	0.17962	0.0293742	0.0385908	0.0624376	0.0182415	0.00212617	0.00900913	0.100078	0.0689065	0.191551	0.00834443	0.00900869	0.0575928	0.199446	0.0256734	2.146459
396	-418.7657	-430.0499	11.28413	0.225469	0.0232545	0.120362	0.0518894	0.00757925	0.0313759	0.00806442	0.135427	0.0122276	0.281093	0.0741507	0.0392938	0.162687	0.269987	0.164628	0.413208	1.56234	0.69409	0.83687	0.945956	1.05713	1.19493	1.44074	0.2640314	0.2534602	0.140261	0.0144663	0.074876	0.0322798	0.00471496	0.0195186	0.00501678	0.0842476	0.00760667	0.174865	0.0461283	0.0244442	0.101206	0.167956	0.102413	1.607489
432	-422.9798	-434.3112	11.33141	0.15826	0.040671	0.0833556	0.0877513	0.0145787	0.05031	0.0359717	0.0969957	0.094966	0.272422	0.0155272	0.0972017	0.217353	0.396189	0.0378286	0.404984	1.57022	0.864855	0.931638	0.97815	1.02234	1.07338	1.15626	0.1049846	0.2471686	0.0931281	0.0239328	0.0490506	0.0516372	0.00857884	0.0296049	0.0211675	0.057077	0.0558827	0.160307	0.00913698	0.0571982	0.127901	0.233137	0.0222602	1.699382
468	-422.1124	-432.5131	10.40069	0.173166	0.0662349	0.0547678	0.0182584	0.0691453	0.012917	0.0316039	0.175459	0.162024	0.33005	0.0585179	0.0644089	0.350755	0.576591	0.105065	0.396554	1.5783	0.723837	0.854174	0.952015	1.0504	1.17072	1.38153	0.2336882	0.2407845	0.0769982	0.0294513	0.0243525	0.00811857	0.0307454	0.00574355	0.0140527	0.0780175	0.0720436	0.146757	0.0260199	0.0286394	0.155963	0.256381	0.0467171	2.248964
504	-417.2749	-428.4072	11.13226	0.219823	0.0143492	0.121734	0.0114681	0.00549986	0.0279167	0.0140088	0.182153	0.0720768	0.290284	0.106256	0.0785723	0.12785	0.285341	0.0223892	0.269301	1.70025	0.350564	0.599766	0.852579	1.17291	1.66732	2.85254	0.7579289	0.1517895	0.139153	0.00908334	0.0770607	0.00725958	0.00348153	0.0176719	0.00886789	0.115307	0.0456263	0.183757	0.0672626	0.049738	0.0809317	0.180627	0.0141729	1.579723
